TAKE,1THR,2THR,4THR,,1THR,2THR,4THR
5,0.00015024,0.00457362,0.00874707,,,,
THROUGHPUT,,,,,,,
1,793755,1.55E+06,2.45E+06,,,,
2,789443,1.55E+06,2.47E+06,,,,
3,786135,1.55E+06,2.45E+06,,,,
4,785892,1.55E+06,2.45E+06,,,,
5,784483,1.55E+06,2.45E+06,,,,
MERGED AND BATCHED,,,,,,,
TIME,,,,,,,
1,41.1819,21.1112,13.664,,41.59054,21.14438,13.64336
2,41.5023,21.1444,13.6111,,,,
3,41.7278,21.1318,13.6054,,,,
4,41.7602,21.1656,13.677,,,,
5,41.7805,21.1689,13.6593,,,,
ERROR,,,,,,,
1,0.000118104,0.000118104,0.000118175,,,,
2,0.000130826,0.000130826,0.000130826,,,,
3,0.000127025,0.000127025,0.000127025,,,,
4,0.000139799,0.000139799,0.000139799,,,,
5,0.00015024,0.00015024,0.00014914,,,,
THROUGHPUT,,,,,,,
1,814786,1.59E+06,2.46E+06,,,,
2,808495,1.59E+06,2.47E+06,,,,
3,804126,1.59E+06,2.47E+06,,,,
4,803502,1.59E+06,2.45E+06,,,,
5,803113,1.59E+06,2.46E+06,,,,
