TAKE,1THR,2THR,4THR,8THR,16THR,,1THR,2THR,4THR,8THR, 
5,0.00045047,0.00045047,0.00045047,0.00045047,0.00045047,,,,,,
THROUGHPUT,,,,,,,,,,,
1,1.67E+07,3.30E+07,5.82E+07,8.88E+07,1.22E+08,,,,,,
2,1.67E+07,3.15E+07,5.64E+07,8.97E+07,1.33E+08,,,,,,
3,1.59E+07,3.27E+07,5.68E+07,9.03E+07,1.26E+08,,,,,,
4,1.64E+07,3.28E+07,5.84E+07,8.55E+07,1.24E+08,,,,,,
5,1.63E+07,3.26E+07,5.45E+07,8.77E+07,1.28E+08,,,,,,
MERGED,,,,,,,,,,,
TIME,,,,,,,,,,,
1,64.8901,31.7266,17.0077,11.718,8.32283,,64.1354,31.3079,17.17226,11.54818,
2,63.8403,31.6172,16.2809,11.5956,8.35287,,,,,,
3,63.4554,31.2594,17.3012,11.6957,8.32366,,,,,,
4,64.3121,30.5453,17.4166,11.3197,8.47757,,,,,,
5,64.1791,31.391,17.8549,11.4119,8.22902,,,,,,
ERROR,,,,,,,,,,,
1,0.000451015,0.000451015,0.000451015,0.000451015,0.000451015,,,,,,
2,0.000452071,0.000452071,0.000452071,0.000452071,0.000452071,,,,,,
3,0.000448362,0.000448362,0.000448362,0.000448362,0.000448362,,,,,,
4,0.00044281,0.00044281,0.00044281,0.00044281,0.00044281,,,,,,
5,0.00045047,0.00045047,0.00045047,0.00045047,0.00045047,,,,,,
THROUGHPUT,,,,,,,,,,,
1,1.65E+07,3.38E+07,6.31E+07,9.16E+07,1.29E+08,,,,,,
2,1.68E+07,3.40E+07,6.60E+07,9.26E+07,1.29E+08,,,,,,
3,1.69E+07,3.43E+07,6.21E+07,9.18E+07,1.29E+08,,,,,,
4,1.67E+07,3.52E+07,6.17E+07,9.49E+07,1.27E+08,,,,,,
5,1.67E+07,3.42E+07,6.01E+07,9.41E+07,1.30E+08,,,,,,
