TAKE,1THR,2THR,4THR,8THR,16THR
2,53.5757,31.8144,17.4613,12.0964,11.5317
3,54.0124,40.2911,21.4517,13.1478,13.8308
4,54.3844,39.6055,23.0419,12.9841,11.5146
5,52.6329,32.0021,18.4245,11.379,11.6678
HASH TIME,,,,,
1,15.5667,16.3212,8.04046,4.30059,2.52517
2,14.5889,7.67339,3.68235,2.49802,1.85209
3,15.4558,15.6138,7.9036,4.24462,2.74316
4,15.6527,14.8866,8.07933,4.17357,2.38868
5,14.1406,7.42859,3.91329,2.38309,1.68107
WRITE TIME,,,,,
1,38.065,24.3892,13.5483,8.50139,9.96963
2,38.4718,23.2501,13.1181,9.55448,9.9211
3,38.0341,23.7317,13.3297,8.8861,11.4753
4,38.2,24.0338,14.4216,8.72143,9.52784
5,37.9718,24.0137,14.0047,8.81677,9.97682
ERROR,,,,,
1,0.000472597,0.000468115,0.000472253,0.000468221,0.000473963
2,0.000459894,0.000459021,0.000459797,0.000458712,0.000460501
3,0.000471167,0.000470625,0.000471132,0.000467138,0.000466964
4,0.000440457,0.00043848,0.000435548,0.000438844,0.00043497
5,0.00047818,0.000477839,0.000477763,0.000473873,0.000472446
THROUGHPUT,,,,,
1,1.98E+07,2.61E+07,4.88E+07,8.27E+07,9.05E+07
2,2.00E+07,3.38E+07,6.15E+07,8.88E+07,9.31E+07
3,1.99E+07,2.66E+07,5.01E+07,8.17E+07,7.76E+07
4,1.97E+07,2.71E+07,4.66E+07,8.27E+07,9.33E+07
5,2.04E+07,3.36E+07,5.83E+07,9.44E+07,9.20E+07
BATCHED PADDED,,,,,
TIME,,,,,
1,53.5692,39.1446,22.4901,12.8667,11.4412
2,52.0565,31.6271,18.1803,11.2393,11.5857
3,53.5263,39.5828,21.4934,13.376,14.2617
4,54.1957,40.0607,22.0615,12.8507,11.2446
5,52.2238,31.3545,17.9037,11.0253,10.9348
HASH TIME,,,,,
1,15.1937,15.3195,7.97451,4.15104,2.38895
2,13.6131,7.28664,3.80884,2.22487,2.20276
3,15.3077,15.4654,7.88649,4.24731,3.19861
4,15.5097,15.3019,7.85171,4.26772,2.30757
5,13.9109,7.3418,3.78614,2.20566,1.78341
WRITE TIME,,,,,
1,37.8334,22.8992,13.9237,8.58491,9.62298
2,37.9163,23.5627,13.7987,8.74071,10.0953
3,37.7564,23.704,13.417,9.07271,11.7412
4,38.1632,23.9828,13.8308,8.72931,9.46533
5,37.7923,23.0635,13.6502,8.57193,9.30408
ERROR,,,,,
1,0.000438591,0.000438784,0.000438449,0.000437499,0.000436314
2,0.000484921,0.000484692,0.000485174,0.000485739,0.000482225
3,0.000449903,0.000448911,0.000441613,0.000450149,0.000432114
4,0.000467556,0.00046737,0.000465915,0.000467117,0.000463615
5,0.000456403,0.000457287,0.000456643,0.000454067,0.000452773
THROUGHPUT,,,,,
1,2.00E+07,2.74E+07,4.77E+07,8.35E+07,9.38E+07
2,2.06E+07,3.40E+07,5.91E+07,9.55E+07,9.27E+07
3,2.01E+07,2.71E+07,5.00E+07,8.03E+07,7.53E+07
4,1.98E+07,2.68E+07,4.87E+07,8.36E+07,9.55E+07
5,2.06E+07,3.42E+07,6.00E+07,9.74E+07,9.82E+07
