TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
4,1.17E+06,2.40E+06,3.26E+06,,,,
5,1.17E+06,2.31E+06,3.20E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,,9.58E-01,,,,,
2,,,,,,,
3,,8.71E-01,,,,,
4,,4.94E-03,,,,,
5,,,,,,,
COLSIZE:,0.00001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,32.891,16.7896,11.774,,32.8652,16.95854,12.00374
2,33.2406,17.0157,11.9147,,,,
3,32.764,16.8569,11.994,,,,
4,32.8474,16.9795,12.0963,,,,
5,32.583,17.151,12.2397,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.3863,1.776,1.3069,,3.39036,1.79628,1.32
2,3.4286,1.81,1.3021,,,,
3,3.3678,1.7916,1.3127,,,,
4,3.3945,1.7834,1.333,,,,
5,3.3746,1.8204,1.3453,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,29.3773,14.9261,10.4249,,29.35208,15.08428,10.63496
2,29.6794,15.1274,10.5525,,,,
3,29.2798,14.9916,10.6321,,,,
4,29.331,15.1243,10.7179,,,,
5,29.0929,15.252,10.8474,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.02E+06,2.00E+06,2.85E+06,,,,
2,1.01E+06,1.97E+06,2.82E+06,,,,
3,1.02E+06,1.99E+06,2.80E+06,,,,
4,1.02E+06,1.98E+06,2.77E+06,,,,
5,1.03E+06,1.96E+06,2.74E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,5.07E-01,9.14E-01,,,,
3,,,2.59E-01,,,,
4,,4.19E-01,,,,,
5,,,,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,33.3127,16.9049,12.0449,,33.29834,16.9733,12.06236
2,33.7103,16.9806,11.8673,,,,
3,33.0818,16.7266,11.9443,,,,
4,33.293,17.0542,12.2383,,,,
5,33.0939,17.2002,12.217,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.4185,1.7843,1.3242,,3.42512,1.79612,1.3233
2,3.4572,1.7906,1.2995,,,,
3,3.401,1.7741,1.3095,,,,
4,3.4386,1.81,1.3393,,,,
5,3.4103,1.8216,1.344,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,29.7613,15.0285,10.6742,,29.74904,15.09886,10.68784
2,30.1231,15.1091,10.5017,,,,
3,29.5603,14.8905,10.5835,,,,
4,29.7332,15.1668,10.8493,,,,
5,29.5673,15.2994,10.8305,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.01E+06,1.98E+06,2.79E+06,,,,
2,995378,1.98E+06,2.83E+06,,,,
3,1.01E+06,2.01E+06,2.81E+06,,,,
4,1.01E+06,1.97E+06,2.74E+06,,,,
5,1.01E+06,1.95E+06,2.75E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,2.36E-01,,,,
3,,8.51E-01,,,,,
4,,,,,,,
5,,,,,,,
