TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
4,23.4664,11.6705,6.68813,,,,
5,23.8763,11.8011,6.89743,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,2.9984,1.5077,0.87862,,2.99894,1.5092,0.88399
2,3.0443,1.54,0.92384,,,,
3,2.9789,1.4899,0.8814,,,,
4,2.9771,1.5032,0.85878,,,,
5,2.996,1.5052,0.87731,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,20.6257,10.0981,5.9291,,20.52888,10.12434,5.91968
2,20.4171,10.0626,5.97474,,,,
3,20.4519,10.1201,5.92808,,,,
4,20.3812,10.1037,5.79006,,,,
5,20.7685,10.2372,5.97642,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.41E+06,2.88E+06,4.90E+06,,,,
2,1.42E+06,2.88E+06,4.81E+06,,,,
3,1.43E+06,2.88E+06,4.90E+06,,,,
4,1.43E+06,2.88E+06,5.02E+06,,,,
5,1.41E+06,2.84E+06,4.86E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
