TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,33.6428,17.8755,12.8747,,33.79946,18.09074,12.97944
2,33.9242,18.1913,12.8843,,,,
3,33.5993,18.0288,12.983,,,,
4,33.8027,18.0468,13.0647,,,,
5,34.0283,18.3113,13.0905,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.5031,1.9178,1.4522,,3.49738,1.9336,1.43714
2,3.4909,1.9404,1.4114,,,,
3,3.4784,1.9225,1.4231,,,,
4,3.4661,1.911,1.44,,,,
5,3.5484,1.9763,1.459,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,29.9902,15.8533,11.3439,,30.14766,16.05702,11.46124
2,30.2646,16.1598,11.3942,,,,
3,29.9759,16.0246,11.4799,,,,
4,30.1767,16.0227,11.5359,,,,
5,30.3309,16.2247,11.5523,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,997374,1.88E+06,2.61E+06,,,,
2,989099,1.84E+06,2.60E+06,,,,
3,998664,1.86E+06,2.58E+06,,,,
4,992655,1.86E+06,2.57E+06,,,,
5,986074,1.83E+06,2.56E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
