TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR,
1,2.36E+06,4.03E+06,7.98E+06,8.91E+06,,,,,,
2,2.34E+06,4.01E+06,7.92E+06,8.83E+06,,,,,,
3,2.37E+06,4.09E+06,7.99E+06,8.84E+06,,,,,,
4,2.22E+06,3.68E+06,7.00E+06,8.85E+06,,,,,,
5,2.34E+06,4.01E+06,7.86E+06,8.74E+06,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
ERROR:,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
