TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
3,1.0624,0.53523,0.27521,0.46223,,,,,
4,1.0621,0.5402,0.28087,0.47139,,,,,
5,1.0556,0.53488,0.27526,0.46594,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,15.4933,8.88163,4.48936,3.59621,,15.40936,8.834446,4.454302,3.554618
2,15.3471,8.80608,4.4334,3.57924,,,,,
3,15.3041,8.7737,4.41884,3.50391,,,,,
4,15.3371,8.78494,4.41739,3.52657,,,,,
5,15.5652,8.92588,4.51252,3.56716,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.01E+06,3.53E+06,6.95E+06,8.17E+06,,,,,
2,2.03E+06,3.56E+06,7.03E+06,8.21E+06,,,,,
3,2.03E+06,3.57E+06,7.06E+06,8.37E+06,,,,,
4,2.03E+06,3.56E+06,7.05E+06,8.30E+06,,,,,
5,2.00E+06,3.51E+06,6.92E+06,8.23E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.00001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,14.9526,8.61563,4.34222,3.83121,,14.96224,8.580808,4.335722,3.81044
2,15.1246,8.62767,4.38986,3.87657,,,,,
3,14.4856,8.33874,4.17025,3.67782,,,,,
4,15.2152,8.6987,4.41369,3.80656,,,,,
5,15.0332,8.6233,4.36259,3.86004,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0523,0.55424,0.28562,0.47055,,1.0519,0.554238,0.283886,0.467024
2,1.0537,0.55333,0.28165,0.46308,,,,,
3,1.053,0.56052,0.28781,0.46975,,,,,
4,1.0505,0.54955,0.28143,0.46799,,,,,
5,1.05,0.55355,0.28292,0.46375,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,13.7699,8.00418,4.01603,3.63392,,13.77834,7.973332,4.010392,3.61362
2,13.9404,8.02276,4.067,3.68117,,,,,
3,13.3017,7.72938,3.84359,3.47994,,,,,
4,14.0334,8.09359,4.08939,3.61091,,,,,
5,13.8463,8.01675,4.03595,3.66216,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,2.24E+06,3.89E+06,7.73E+06,8.76E+06,,,,,
2,2.22E+06,3.89E+06,7.64E+06,8.66E+06,,,,,
3,2.32E+06,4.02E+06,8.05E+06,9.12E+06,,,,,
4,2.21E+06,3.86E+06,7.60E+06,8.81E+06,,,,,
5,2.23E+06,3.89E+06,7.69E+06,8.69E+06,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00010764,,0.00016319,,,,,
2,,3.25E-01,7.41E-01,0.00012618,,,,,
3,,3.31E-01,8.43E-01,0.00016166,,,,,
4,,7.87E-01,,0.00016975,,,,,
5,,7.86E-01,,0.00010066,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,14.9506,8.57955,4.31937,3.81537,,15.16536,8.738404,4.445628,3.837184
2,14.9902,8.56615,4.32153,3.79294,,,,,
3,14.9009,8.50489,4.33114,3.79455,,,,,
4,15.9729,9.43569,4.93255,3.88809,,,,,
5,15.0122,8.60574,4.32355,3.89497,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0638,0.53555,0.27495,0.4651,,1.22828,0.687438,0.385726,0.463994
2,1.0645,0.53674,0.27654,0.46204,,,,,
3,1.0542,0.53672,0.2765,0.46416,,,,,
4,1.89,1.2887,0.82406,0.46339,,,,,
5,1.0689,0.53948,0.27658,0.46528,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,13.7321,7.95917,3.98322,3.30639,,13.78134,7.96554,3.998254,3.328436
2,13.7694,7.94413,3.98375,3.28517,,,,,
3,13.6894,7.88045,3.99389,3.28769,,,,,
4,13.9265,8.06114,4.04459,3.37815,,,,,
5,13.7893,7.98281,3.98582,3.38478,,,,,
PADDING WITH BARRIER,,,,,,,,,
