TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
3,0.004589,0.0045882,0.004589,0.0045606,,,,,
4,0.004318,0.00431,0.004318,0.004286,,,,,
5,0.0043625,0.0043617,0.0043625,0.0043393,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,18.1985,9.8004,5.01654,4.46203,,18.20948,9.804006,5.005248,4.473628
2,18.2306,9.81754,5.02007,4.4961,,,,,
3,18.1319,9.76221,4.97724,4.45818,,,,,
4,18.2386,9.80824,5.00604,4.47443,,,,,
5,18.2478,9.83164,5.00635,4.4774,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.0977,0.5725,0.29234,0.45114,,1.09858,0.573142,0.292772,0.452454
2,1.1001,0.57329,0.29333,0.45263,,,,,
3,1.1001,0.57675,0.294,0.45339,,,,,
4,1.095,0.56806,0.29264,0.45442,,,,,
5,1.1,0.57511,0.29155,0.45069,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,16.9443,9.13647,4.66268,3.96332,,16.955,9.140054,4.649928,3.974614
2,16.9747,9.15344,4.66368,3.99868,,,,,
3,16.8758,9.09509,4.62191,3.95853,,,,,
4,16.9892,9.14889,4.6498,3.97292,,,,,
5,16.991,9.16638,4.65157,3.97962,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.84E+06,3.42E+06,6.69E+06,7.52E+06,,,,,
2,1.84E+06,3.42E+06,6.68E+06,7.46E+06,,,,,
3,1.85E+06,3.44E+06,6.74E+06,7.53E+06,,,,,
4,1.84E+06,3.42E+06,6.70E+06,7.50E+06,,,,,
5,1.84E+06,3.41E+06,6.70E+06,7.49E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.004174,0.004174,0.004174,0.004174,,,,,
2,0.0042137,0.0042137,0.0042137,0.0042137,,,,,
3,0.0042406,0.0042406,0.0042406,0.0042406,,,,,
4,0.0042103,0.0042103,0.0042103,0.0042103,,,,,
5,0.0047563,0.0047563,0.0047563,0.0047563,,,,,
COLSIZE:,0.00001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,29.8223,14.4715,7.32351,6.013,,29.881,14.5432,7.279236,6.036974
2,29.82,14.3424,7.10194,6.0249,,,,,
3,29.8746,14.5226,7.15431,6.09273,,,,,
4,29.8327,14.7278,7.46805,6.03432,,,,,
5,30.0554,14.6517,7.34837,6.01992,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.199,0.621,0.31464,0.47716,,1.24424,0.65565,0.333988,0.477872
2,1.1927,0.61751,0.31103,0.4769,,,,,
3,1.208,0.62682,0.3116,0.47839,,,,,
4,1.1925,0.6277,0.31635,0.48085,,,,,
5,1.429,0.78522,0.41632,0.47606,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,28.4529,13.7716,6.9481,5.74973,,28.46512,13.80842,6.884888,5.756004
2,28.4553,13.6477,6.73174,5.75785,,,,,
3,28.4962,13.8165,6.78259,5.78664,,,,,
4,28.4678,14.0237,7.08955,5.76393,,,,,
5,28.4534,13.7826,6.87246,5.72187,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.13E+06,2.32E+06,4.58E+06,5.58E+06,,,,,
2,1.13E+06,2.34E+06,4.72E+06,5.57E+06,,,,,
3,1.12E+06,2.31E+06,4.69E+06,5.51E+06,,,,,
4,1.12E+06,2.28E+06,4.49E+06,5.56E+06,,,,,
5,1.12E+06,2.29E+06,4.57E+06,5.57E+06,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0001433,0.00014104,0.0001433,0.00013581,,,,,
2,0.00010093,7.69E-01,0.00010093,3.70E-01,,,,,
3,0.0001404,0.00013859,0.0001404,0.00014325,,,,,
4,0.00014751,0.00014604,0.00014754,0.0001335,,,,,
5,0.00013471,0.00013628,0.00013471,0.00013203,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,29.8963,14.4042,7.27749,6.01564,,29.86828,14.56324,7.420212,6.013402
2,29.8806,14.3865,7.47968,6.01399,,,,,
3,29.9956,14.9273,7.46002,6.01725,,,,,
4,29.8195,14.4315,7.48969,6.01119,,,,,
5,29.7494,14.6667,7.39418,6.00894,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.2,0.61601,0.31358,0.46931,,1.25186,0.6578,0.341038,0.468766
2,1.1979,0.61563,0.31378,0.46752,,,,,
3,1.4636,0.82269,0.451,0.46931,,,,,
4,1.1989,0.61623,0.31393,0.46796,,,,,
5,1.1989,0.61844,0.3129,0.46973,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,28.4934,13.682,6.88534,5.4756,,28.41446,13.79848,7.000836,5.469946
2,28.4798,13.6642,7.08709,5.47964,,,,,
3,28.3303,13.9971,6.92984,5.47108,,,,,
4,28.42,13.7098,7.09744,5.46638,,,,,
5,28.3488,13.9393,7.00447,5.45703,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.12E+06,2.33E+06,4.61E+06,5.58E+06,,,,,
2,1.12E+06,2.33E+06,4.49E+06,5.58E+06,,,,,
3,1.12E+06,2.25E+06,4.50E+06,5.58E+06,,,,,
4,1.13E+06,2.33E+06,4.48E+06,5.58E+06,,,,,
5,1.13E+06,2.29E+06,4.54E+06,5.58E+06,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.00011555,0.00011555,0.00011555,0.00011555,,,,,
2,0.00013987,0.00013987,0.00013987,0.00013987,,,,,
3,0.00010371,0.00010371,0.00010371,0.00010371,,,,,
4,0.00011729,0.00011729,0.00011729,0.00011729,,,,,
5,0.00010763,0.00010763,0.00010763,0.00010763,,,,,
